exp,model_type,target_type,condition,model,rel_surp,by_surp,verb_by_surp,det_surp,noun_surp,NP_surp,RC_surp,verb_surp,extra_surp,main_surp
ref,shuffled,reduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.0016412734985351562,-0.0002570152282714844,0.0013842582702636719,-0.00033485889434814453,-0.0036897659301757812,-0.004024624824523926,-0.002640366554260254,-0.0011510848999023438,-0.0005464553833007812,-0.001697540283203125
ref,shuffled,reduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.0041522979736328125,-0.008200645446777344,-0.004048347473144531,0.0006660223007202148,0.004486083984375,0.005152106285095215,0.0011037588119506836,-0.0031681060791015625,0.000152587890625,-0.0030155181884765625
ref,shuffled,reduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.007334709167480469,0.017038345336914062,0.02437305450439453,0.00014865398406982422,0.0107879638671875,0.010936617851257324,0.035309672355651855,-0.0009546279907226562,0.0023670196533203125,0.0014123916625976562
ref,shuffled,reduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.0046234130859375,0.0002765655517578125,0.0048999786376953125,-0.0001087188720703125,0.00316619873046875,0.0030574798583984375,0.00795745849609375,0.004822731018066406,-0.00543975830078125,-0.0006170272827148438
ref,shuffled,reduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.011189460754394531,-0.01680755615234375,-0.005618095397949219,-0.0009666681289672852,-0.00046825408935546875,-0.001434922218322754,-0.007053017616271973,0.009609222412109375,-0.00412750244140625,0.005481719970703125
ref,ordered,reduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,0.10147476196289062,-0.04492473602294922,0.056550025939941406,0.04359614849090576,-0.0077610015869140625,0.0358351469039917,0.0923851728439331,0.48908329010009766,0.33182716369628906,0.8209104537963867
ref,ordered,reduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.026262283325195312,-0.17423057556152344,-0.20049285888671875,-0.007881879806518555,0.19840049743652344,0.19051861763000488,-0.009974241256713867,0.008831024169921875,-0.006008148193359375,0.0028228759765625
ref,ordered,reduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.5363016128540039,-0.04235076904296875,0.49395084381103516,0.08358824253082275,-0.060161590576171875,0.02342665195465088,0.517377495765686,-0.036902427673339844,-0.27694225311279297,-0.3138446807861328
ref,ordered,reduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,0.3623342514038086,0.013895034790039062,0.37622928619384766,0.05153083801269531,0.36806154251098633,0.41959238052368164,0.7958216667175293,0.10572433471679688,0.056921958923339844,0.16264629364013672
ref,ordered,reduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.3314695358276367,-0.09050464630126953,0.2409648895263672,-0.0011591911315917969,-0.5301084518432617,-0.5312676429748535,-0.29030275344848633,0.2846097946166992,-0.014108657836914062,0.27050113677978516
ref,shuffled,unreduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.0021696090698242188,-0.00107574462890625,0.0010938644409179688,0.0002263784408569336,-0.0032892227172851562,-0.0030628442764282227,-0.001968979835510254,-0.0043964385986328125,-4.00543212890625e-05,-0.004436492919921875
ref,shuffled,unreduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.0009832382202148438,0.0011858940124511719,0.0021691322326660156,0.0004334449768066406,0.003090381622314453,0.0035238265991210938,0.005692958831787109,-0.003414154052734375,-0.000179290771484375,-0.00359344482421875
ref,shuffled,unreduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.004748344421386719,0.0007829666137695312,0.00553131103515625,0.00024271011352539062,0.007887840270996094,0.008130550384521484,0.013661861419677734,0.0014390945434570312,0.0033044815063476562,0.0047435760498046875
ref,shuffled,unreduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.003238677978515625,0.00081634521484375,0.004055023193359375,0.00010716915130615234,0.0014586448669433594,0.0015658140182495117,0.005620837211608887,0.0017671585083007812,0.0001373291015625,0.0019044876098632812
ref,shuffled,unreduced,1NP_2NP,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.0042572021484375,-0.0021746158599853516,0.0020825862884521484,0.0003091096878051758,-0.0017518997192382812,-0.0014427900314331055,0.000639796257019043,0.0060253143310546875,-0.00487518310546875,0.0011501312255859375
ref,ordered,unreduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.28760433197021484,-0.10764670372009277,-0.3952510356903076,0.01647937297821045,0.08935928344726562,0.10583865642547607,-0.28941237926483154,0.3737163543701172,0.1564788818359375,0.5301952362060547
ref,ordered,unreduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,0.06848335266113281,-0.08535003662109375,-0.016866683959960938,-0.016756772994995117,0.23302268981933594,0.21626591682434082,0.19939923286437988,0.041481971740722656,-0.03493213653564453,0.006549835205078125
ref,ordered,unreduced,1NP_2NP,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.5044498443603516,0.019762039184570312,0.5242118835449219,0.09067165851593018,-0.03428459167480469,0.05638706684112549,0.5805989503860474,-0.03506278991699219,-0.2184581756591797,-0.2535209655761719
