exp,model_type,target_type,condition,model,rel_surp,by_surp,verb_by_surp,det_surp,noun_surp,NP_surp,RC_surp,verb_surp,extra_surp,main_surp
temp,shuffled,reduced,Past_Future,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.00742340087890625,0.0015268325805664062,0.008950233459472656,7.62939453125e-05,-0.003993988037109375,-0.003917694091796875,0.005032539367675781,-0.001995086669921875,-0.00020134449005126953,-0.0021964311599731445
temp,shuffled,reduced,Past_Future,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-0.017854690551757812,0.0058917999267578125,-0.011962890625,-0.00018537044525146484,-0.00397491455078125,-0.004160284996032715,-0.016123175621032715,-0.004038810729980469,-8.606910705566406e-05,-0.004124879837036133
temp,shuffled,reduced,Past_Future,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-0.012394905090332031,0.004702091217041016,-0.007692813873291016,0.00042831897735595703,-0.0001506805419921875,0.00027763843536376953,-0.007415175437927246,0.005016326904296875,-0.0009310245513916016,0.0040853023529052734
temp,shuffled,reduced,Past_Future,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-0.0029239654541015625,-0.0006122589111328125,-0.003536224365234375,-8.440017700195312e-05,0.0025234222412109375,0.0024390220642089844,-0.0010972023010253906,-0.000579833984375,-0.00011706352233886719,-0.0006968975067138672
temp,shuffled,reduced,Past_Future,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.0026197433471679688,0.004036903381347656,0.006656646728515625,0.00204312801361084,-0.007940292358398438,-0.005897164344787598,0.0007594823837280273,-0.004633903503417969,-0.0029230117797851562,-0.007556915283203125
temp,ordered,reduced,Past_Future,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-2.1684226989746094,0.7584710121154785,-1.4099516868591309,0.07095813751220703,-0.02237987518310547,0.04857826232910156,-1.3613734245300293,0.1816997528076172,0.0320584774017334,0.21375823020935059
temp,ordered,reduced,Past_Future,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.9022045135498047,-0.16692876815795898,-1.0691332817077637,0.028429031372070312,-0.6543855667114258,-0.6259565353393555,-1.6950898170471191,-1.567601203918457,-0.054734230041503906,-1.622335433959961
temp,ordered,reduced,Past_Future,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-1.4111518859863281,0.6680936813354492,-0.7430582046508789,0.059618592262268066,-0.1664752960205078,-0.10685670375823975,-0.8499149084091187,-0.5953769683837891,-0.09144973754882812,-0.6868267059326172
temp,ordered,reduced,Past_Future,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-1.7317085266113281,0.4893827438354492,-1.242325782775879,0.15715479850769043,-0.2785024642944336,-0.12134766578674316,-1.363673448562622,-0.11527156829833984,0.00026667118072509766,-0.11500489711761475
temp,ordered,reduced,Past_Future,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-1.0839805603027344,0.2941436767578125,-0.7898368835449219,0.06165266036987305,-0.7662982940673828,-0.7046456336975098,-1.4944825172424316,-0.7432661056518555,-0.11335313320159912,-0.8566192388534546
