exp,model_type,target_type,condition,model,surp
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.6088733673095703
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,1.2675228118896484
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.8324346542358398
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.42168235778808594
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,0.2555255889892578
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,1.1293487548828125
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.5254640579223633
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,0.6474037170410156
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.8942141532897949
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.004699230194091797
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.014424324035644531
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.01131439208984375
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.0018873214721679688
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.0005846023559570312
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.5166416168212891
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.24300527572631836
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-0.039577484130859375
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.18230342864990234
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-0.443723201751709
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-2.0404295921325684
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-0.12599945068359375
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-1.3336658477783203
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-0.6455373764038086
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-1.7564311027526855
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-1.031510353088379
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,1.0196881294250488
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-0.9341883659362793
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,0.20155715942382812
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.25252246856689453
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-0.012814521789550781
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.003234386444091797
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.006064891815185547
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-0.003329753875732422
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.044686317443847656
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.20868635177612305
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,0.02861309051513672
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-0.02361154556274414
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.19393396377563477
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.3709444999694824
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-1.1452431678771973
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.06587982177734375
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.9735517501831055
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-2.016916275024414
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.9306836128234863
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-1.1985936164855957
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.11092948913574219
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.12013053894042969
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.36532020568847656
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,1.402602195739746
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-0.006768345832824707
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.018151283264160156
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-0.00853872299194336
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.00030350685119628906
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.011582255363464355
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,0.03286778926849365
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.17014241218566895
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.10823678970336914
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,0.12581467628479004
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.07938039302825928
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.4227726459503174
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,1.196094036102295
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.7298563718795776
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,1.095499873161316
